product_id,name,price,brand,category,link,image
1,차앤맘 피토세린 모이스처 로션,30000,차앤맘(CHA&MOM),lotion,https://brand.naver.com/chaandmom/products/7048849188?n_media=27758&n_query=%EC%B0%A8%EC%95%A4%EB%A7%98%ED%94%BC%ED%86%A0%EC%84%B8%EB%A6%B0%EB%AA%A8%EC%9D%B4%EC%8A%A4%EC%B2%98%EB%A1%9C%EC%85%98&n_rank=1&n_ad_group=grp-a001-02-000000028874424&n_ad=nad-a001-02-000000198347182&n_campaign_type=2&n_mall_id=ncp_1og818_01&n_mall_pid=7048849188&n_ad_group_type=2&n_match=3&NaPm=ct%3Dlzrwmv48%7Cci%3D0B40002PR%5FDAr%5FGaNeZ7%7Ctr%3Dpla%7Chk%3D77365269634915e01effed3ad7eab176e67f0b1a%7Cnacn%3DbkrfDYgclOMtB,lotion1
2,어네이브 베이비 세럼(리뉴얼),31500,어네이브(hernaiv),lotion,https://brand.naver.com/petitelinstore/products/5854468913,lotion2
3,유기농 세럼(리뉴얼),38000,쁘리마쥬(Primage),lotion,https://smartstore.naver.com/primage/products/296545731,lotion3
4,씨앗품은 수분로션,33300,오가본(ORGABON),lotion,https://brand.naver.com/orgabon/products/5653903398,lotion4
5,바를 로션,14900,바를,lotion,https://smartstore.naver.com/frankliin/products/10389746326?NaPm=ct%3Dlzrxecbc%7Cci%3Dd2955676c62d3ffc878dcd1f8351c57272e7b7a5%7Ctr%3Dsls%7Csn%3D1764796%7Chk%3Df0aade65930ccc139618800684f4e4a81430ba74,lotion5
6,보타니컬테라피 아기 세럼,35900,보타니컬테라피(BOTANICAL THERAPY),lotion,https://brand.naver.com/whittlestore/products/10193117255,lotion6
7,MLE 로션(리뉴얼),34500,아토팜(ATOPALM),lotion,https://neopharmshop.co.kr/product/detail.html?product_no=2184&cate_no=48&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open&n_media=27758&n_query=MLE%EB%A1%9C%EC%85%98&n_rank=1&n_ad_group=grp-a001-02-000000043191230&n_ad=nad-a001-02-000000308921108&n_campaign_type=2&n_mall_id=neopharmshop&n_mall_pid=2184&n_ad_group_type=2&n_match=3&NaPm=ct%3Dlzrxhr00%7Cci%3D0AS0001kSFDAcTYbqf1a%7Ctr%3Dpla%7Chk%3D3df61a1243aeda29f593ee5dccebc288147d4f0e%7Cnacn%3DbkrfDYgclOMtB,lotion7
8,아이아움 플레인 베이비 로션,21200,아이아움(IAOOM),lotion,https://smartstore.naver.com/iaoom/products/6937446033?NaPm=ct%3Dlzryxjyw%7Cci%3D5d7ca213a79d6fe5ae0693102d2b2bd367141d95%7Ctr%3Dslsl%7Csn%3D5010754%7Chk%3Dc9285ba9674289c3be3d7b0bc1476e851007e2e2,lotion8
9,스쿠스쿠 로션,29000,오가닉그라운드(Organic ground),lotion,https://brand.naver.com/organicground/products/4947765911?nl-au=65e1264c2e644650a0f6ace84841e5bd&NaPm=ct%3Dlzrz5lbk%7Cci%3D5b8eff171c1f0980feeae93061f8d4ecc45a27a7%7Ctr%3Dslcf%7Csn%3D999623%7Chk%3D65e30f5aef7fd62164f345ea4df99877bf2f6f15,lotion9
10,몽디에스 아토 로션(2차 리뉴얼),30600,몽디에스(mongdies),lotion,https://www.mongdies.com/shop/shopdetail.html?branduid=1782724&search=%BE%C6%C5%E4%B7%CE%BC%C7&sort=order&xcode=001&mcode=001&scode=001&GfDT=bm17W1o%3D,lotion10
